Protein IDs,Majority protein IDs,Protein names,Gene names,Intensity EV_AA1,Intensity EV_AA2,Intensity EV_AA3,Intensity EV_B1,Intensity EV_B2,Intensity EV_B3,Intensity WT_AA1,Intensity WT_AA2,Intensity WT_AA3,Intensity WT_B1,Intensity WT_B2,Intensity WT_B3,iBAQ,iBAQ EV_AA1,iBAQ EV_AA2,iBAQ EV_AA3,iBAQ EV_B1,iBAQ EV_B2,iBAQ EV_B3,iBAQ WT_AA1,iBAQ WT_AA2,iBAQ WT_AA3,iBAQ WT_B1,iBAQ WT_B2,iBAQ WT_B3,LFQ intensity EV_AA1,LFQ intensity EV_AA2,LFQ intensity EV_AA3,LFQ intensity EV_B1,LFQ intensity EV_B2,LFQ intensity EV_B3,LFQ intensity WT_AA1,LFQ intensity WT_AA2,LFQ intensity WT_AA3,LFQ intensity WT_B1,LFQ intensity WT_B2,LFQ intensity WT_B3
D6R9D6;A0AV96-2;B7Z8Z7;A0AV96;D6R9M7;D6REZ6;D6RBS9,D6R9D6;A0AV96-2;B7Z8Z7;A0AV96,RNA-binding protein 47,RBM47,3493900,30569000,18527000,18987000,16228000,25427000,35135000,0,37781000,51912000,28354000,57535000,16197000,174690,1528400,926330,949340,811420,1271400,1756700,0,1889000,2595600,1417700,2876700,0,0,0,0,0,0,0,0,0,0,0,42860000
H7BXI1;A0FGR8-2;F2Z3K9;A0FGR8-5;A0FGR8;A0FGR8-6,H7BXI1;A0FGR8-2;F2Z3K9;A0FGR8-5;A0FGR8;A0FGR8-6,Extended synaptotagmin-2,ESYT2,2754200,4475900,3973800,3133100,3238300,4062900,71134000,19214000,12211000,16751000,9516900,10656000,3661800,62596,101730,90314,71206,73598,92338,1616700,436690,277520,380700,216290,242180,0,0,0,0,0,0,36790000,0,0,0,0,0
A0JLT2-2;J3KR33;A0JLT2,A0JLT2-2;J3KR33;A0JLT2,Mediator of RNA polymerase II transcription subunit 19,MED19,174130000,118060000,49657000,152060000,80233000,57596000,289870000,322960000,159350000,231290000,236900000,58848000,214550000,19348000,13118000,5517500,16896000,8914800,6399600,32207000,35885000,17705000,25699000,26322000,6538700,141950000,105720000,100260000,111960000,95467000,107060000,96178000,147690000,121650000,127390000,103710000,105660000
A8W6Z8;E7ETC2;A1A441;Q08209-3;Q08209-2;Q08209,A8W6Z8;E7ETC2;A1A441;Q08209-3;Q08209-2;Q08209,Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,PPP3CA,28861000,39685000,0,24929000,0,19169000,21683000,22879000,52096000,33505000,0,25249000,19147000,2061500,2834700,0,1780700,0,1369200,1548800,1634200,3721200,2393200,0,1803500,0,0,0,0,0,0,0,0,31621000,0,0,0
A1L020,A1L020,RNA-binding protein MEX3A,MEX3A,67541000,44575000,74407000,70594000,94979000,72595000,389690000,228780000,289460000,358550000,340380000,258200000,104080000,3070000,2026100,3382100,3208800,4317200,3299800,17713000,10399000,13157000,16298000,15472000,11737000,70907000,92918000,82632000,93721000,97610000,96333000,185900000,141310000,174030000,182760000,163370000,167750000
A1L0T0;M0R026;E9PL44;E9PJS0,A1L0T0;M0R026,Acetolactate synthase-like protein,ILVBL,17227000,22678000,15463000,13895000,0,0,85456000,53620000,13134000,53074000,54719000,30947000,14409000,689080,907130,618510,555790,0,0,3418200,2144800,525370,2123000,2188800,1237900,0,19345000,0,0,0,0,45708000,34935000,0,29236000,32070000,24073000
F8W6W0;A1L170;A1L170-2,F8W6W0;A1L170;A1L170-2,Uncharacterized protein C1orf226,C1orf226,64676000,66566000,66459000,44921000,52696000,46064000,28601000,30585000,25729000,66747000,51352000,51326000,85103000,9239500,9509400,9494100,6417300,7528000,6580600,4085900,4369300,3675600,9535200,7336000,7332300,0,0,0,0,0,0,0,0,0,0,0,38235000
A2A2D0;P16949;P16949-2;B7Z2Z7;E5RGX5;Q93045;Q93045-2;Q9H169;G5EA16;Q9H169-2;E5RIR6;E7EVN3,A2A2D0;P16949;P16949-2;B7Z2Z7;E5RGX5;Q93045;Q93045-2;Q9H169;G5EA16;Q9H169-2;E5RIR6;E7EVN3,Stathmin;Stathmin-2;Stathmin-4,STMN1;STMN4;STMN2,4758000,8299900,4686400,8584100,8484800,7515500,0,0,30084000,7214700,8963900,7904000,16083000,793010,1383300,781070,1430700,1414100,1252600,0,0,5014100,1202500,1494000,1317300,0,0,0,0,0,0,0,0,18260000,0,0,0
Q5TCT4;P42696-2;A2A2V2;P42696;H7C5M1,Q5TCT4;P42696-2;A2A2V2;P42696;H7C5M1,RNA-binding protein 34,RBM34,14834000,27801000,30564000,22642000,43191000,19942000,57843000,63396000,23434000,39969000,13993000,23850000,29343000,1141100,2138500,2351100,1741700,3322400,1534000,4449500,4876600,1802600,3074600,1076400,1834600,0,0,0,0,0,0,27574000,39129000,0,24841000,0,0
P35611-2;E7EV99;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q86XM2;D6RJE2;H0YFD8;D6RAH3;D6RF25,P35611-2;E7EV99;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q86XM2,Alpha-adducin,ADD1,30230000,42832000,58752000,29335000,34978000,26166000,15974000,52144000,32691000,32885000,42136000,19745000,16072000,1162700,1647400,2259700,1128300,1345300,1006400,614400,2005500,1257300,1264800,1620600,759420,0,0,46189000,0,0,0,0,0,0,0,0,0
